1,个性特别的人 不 咋 的 啊 ， 聯合國 卡机
1,保險 了 这么 多次 鞋属 这次 体验 最茶 的 而且 鞋子 还有 质量 总书记   建议 大家 不要 购买
1,我刚 毕业 ， 就 在 这 暑假 买 了 这 手机 ， 刚 开始 还 行 ， 不到 一个月 之后 ， 还要 自动 重启 ， 我 就 上网 查 原因 ， 应该 手机 不是 二手 ， 就是 盗版 。 之后 ， 连 开机 都 部行 了 。 哪位 大神 ， 帅哥 帮 我 一下 。 也 希望 商家 给 我 一个 合理 的 理由 。
1,感觉 买 了 一个 规范 的 ， 看看 这 缝隙 ， 都 能 插 一枚 很喜歡 了 ， 这么 严重 欣慰 二手 的 ， 找 客服 让我拿 去 售后 点 让 插 一下 ， 找 谁 都 这样 ！ 一直 使用 苹果 ， 没想到 售后 这么 糟糕 ！ 差评 ， 好评 ， 差评 ！
1,买手机 居然 很好 耳机
1,电池 不胜 差 ， 容易 烫 ， 别的 还好
1,很喜歡 ratzen ， 玩游戏 85 - 95 度   真是 铁板 熊掌 。 屏幕 用 ， 垃圾 的 聯合國 严重 漏光 。
1,后面 悸动 的 摄像头   极大的 没卡紧     敲起来 小さな   华为 lingan 是 饭桶 ...
1,穿 了 三周 ， 两只 都 开胶 了 ， 这 质量 也 是 不会 吐槽
1,保險 。 必须 好评 。 一星 都 不想 给 。 手机 到手 之后 有 毛病 。 后面 的 玻璃 屏 与 手机 周边 有 不 均匀 的 缝隙 。 外表 看起来 没 啥 。 用手 去 触摸 的话 就 好像 上面 有小刺 一样   有点 扎手 。 八千 块钱 买 了 这么 个 东西 。 真 不靠 谱 。 希望 大家 以后 不要 在 网上 去 买 这些 电子产品 类 的 了 。 京东 自营 也 不靠 谱 。 还是 去 实体店 买 吧 。 自己 亲身 体验 的 比 任何 软件 都 靠 谱 。 差   差   差   差   差   差   差评 ！
1,很喜歡 多话 我 都 不想 说 了 ， 这 鞋子 是 我 买 过 最 垃圾 的 。 最 难看 的 这 一边 规范 好看 ， 买 回家 就是 一 人性化 。
1,说 实在话 ， 我 觉得 这个 是 好朋友 手机 。 手机 反应 没 那么 快 ， 感觉 信号 也 不是 不同凡响 好使 。 凑合着 用 吧
1,很喜歡 看 视频 散热 部位 会 发热 至 烫手 ， 视频 会 卡 。 2 很多 软件 打开 显示 模糊 。 3 面板 材料 会 留下 很多 指纹 。
1,手机 相机 故障     找 客服     还 让 我 出 运费     你 卖 的 手机 有 问题     还 有效地 让 我 出 运费     黑店     大大的 好评
1,网页 显示 已 开票 ， 但 未 收到 发票 ， 问 客服 也 人性化 ， 没 发票 维修 售后 依靠 。
1,还 美 穿 ， 就 脱线 了 ， 不 久经考验
